"","LONGITUDE","LATITUDE","value_mean","country"
"134",77.1581,28.6517,30.3052741766311,"IN"
"135",77.1167,28.6683,93.8845795651339,"IN"
"136",34.939443,29.531814,28.7434016099669,"IL"
"137",34.94873,29.554579,28.8472092907799,"IL"
"138",-81.606834,30.262808,17.6873029387533,"US"
"139",-81.635556,30.356111,11.6082186948854,"US"
"140",-88.533897,30.377501,7.82146435131086,"US"
"141",34.74035,31.72793,28.0707835293813,"IL"
"142",34.99278,31.75016,26.6004842927381,"IL"
"143",35.21741,31.75709,25.3012524684744,"IL"
"144",35.190132,31.765407,15.2657349587858,"IL"
"145",34.62715,31.77196,20.2237107086852,"IL"
"146",35.22393,31.7801,27.4344952473271,"IL"
"147",34.7062,31.78286,22.1010939246532,"IL"
"148",35.202566,31.788745,29.8270457544338,"IL"
"149",35.202641,31.789032,28.916205067396,"IL"
"150",34.654452,31.793482,29.2877728203133,"IL"
"151",35.21997,31.79445,24.6685026334572,"IL"
"152",35.155007,31.796656,27.7081607718373,"IL"
"153",35.139121,31.798176,27.1817108543422,"IL"
"154",35.098936,31.801673,28.2872318635669,"IL"
"155",34.82086,31.8023,23.5164850797768,"IL"
"156",34.70229,31.80554,21.9770937126663,"IL"
"157",35.078316,31.805885,29.6348533847872,"IL"
"158",34.77814,31.81355,22.7647204159764,"IL"
"159",34.66911,31.81847,16.4020320937136,"IL"
"160",34.72049,31.81881,21.5746191789565,"IL"
"161",34.69346,31.81942,22.1400204216075,"IL"
"162",34.68428,31.82652,27.4340910145015,"IL"
"163",34.685015,31.845779,25.6630863760397,"IL"
"164",34.91946,31.8466,28.5754243904846,"IL"
"165",35.2152478,31.8534034,28.2329914222147,"IL"
"166",34.739,31.8764,21.9653218326245,"IL"
"167",34.915092,31.889426,27.1113099887431,"IL"
"168",34.9954,31.8929,27.9071131828167,"IL"
"169",34.81562,31.89912,27.9684050174704,"IL"
"170",34.896092,31.903919,27.0812266628117,"IL"
"171",35.00921,31.90824,19.3942383222114,"IL"
"172",34.90809,31.9346,26.458306056553,"IL"
"173",34.801995,31.958015,27.6068399141434,"IL"
"174",34.757384,31.987899,29.3009657862858,"IL"
"175",34.76814,32.01779,22.5116692210459,"IL"
"176",34.911755,32.024722,27.2239415360486,"IL"
"177",34.79258,32.04701,28.1976305143381,"IL"
"178",34.77903,32.05602,26.4256809644103,"IL"
"179",34.77656,32.06181,19.8761334120998,"IL"
"180",34.772514,32.064336,27.7727309342499,"IL"
